ACCINT,ADMITTEDQUOTE,ADMITTEDVALUE,BEICLOSE,BID,BOARDID,BOARDNAME,BUYBACKDATE,CBRCLOSE,CLOSE,CLOSEAUCTIONPRICE,CLOSEPERIOD,CLOSEVAL,COUPONPERCENT,COUPONVALUE,CURRENCYID,DAILYCAPITALIZATION,DECIMALS,DURATION,FACEUNIT,FACEVALUE,HIGH,HIGHBID,IRICPICLOSE,ISIN,ISSUESIZE,LASTPRICE,LASTTRADEDATE,LEGALCLOSEPRICE,LEGALOPENPRICE,LISTNAME,LOW,LOWOFFER,MARKETPRICE,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3CUR,MARKETPRICE3TRADESVALUE,MARKETPRICE3TRADESVALUECUR,MATDATE,MONTHLYCAPITALIZATION,MP2VALTRD,MPVALTRD,NUMBID,NUMOFFER,NUMTRADES,OFFER,OFFERDATE,OPEN,OPENPERIOD,OPENVAL,PREV,PREVLEGALCLOSEPRICE,REGNUMBER,SECID,SHORTNAME,TRADINGSESSION,TRENDCLOSE,TRENDCLSPR,TRENDWAP,TRENDWAPPR,TYPE,VALUE,VOLUME,WAPRICE,WAVAL,YIELDATWAP,YIELDCLOSE,YIELDLASTCOUPON,YIELDTOOFFER
,,,,,RPMO,,,,209.5,,,,,,,,,,,,250.38,,,,,,,,,,173.1184,,,,,,,,,,,,,,951.0,,,249.408,,,,,,SBER,Сбербанк,3.0,,,,,,1790612953.75,,,,,,,
,,,,,RPMO,,,,210.59,,,,,,,,,,,,251.64,,,,,,,,,,93.5979,,,,,,,,,,,,,,1205.0,,,93.5979,,,,,,SBER,Сбербанк,3.0,,,,,,1836143052.52,,,,,,,
,,,,,PTEQ,,,,210.0,,,,0.0,0.0,SUR,,,,RUB,3.0,210.0,,,,,,2020-07-02,,,,206.36,,,,,,,,,,,,,,8.0,,,206.36,,,,,,SBER,Сбербанк,3.0,,,,,,190291488.0,914392.0,208.11,,,,,
,,,,,PTEQ,,,,210.08,,,,0.0,0.0,SUR,,,,RUB,3.0,210.08,,,,,,2020-07-03,,,,210.04,,,,,,,,,,,,,,6.0,,,210.04,,,,,,SBER,Сбербанк,3.0,,,,,,186718296.64,888958.0,210.32,,,,,
,,0.0,,,SMAL,,,,209.9,,,,,,SUR,,,,,,210.4,,,,,,,,,,204.04,,,,,,0.0,,,,0.0,,,,20.0,,,204.04,,,,,,SBER,Сбербанк,3.0,,10.98,,,,10145.23,49.0,208.11,0.0,,,,
,210.0,15144384426.0,,,TQBR,,,,209.6,,,,,,SUR,,,,,,210.15,,,,,,,210.0,,,204.28,,,208.02,208.02,,15144384426.0,,,,15144384426.0,,,,78824.0,,,205.0,,,,,,SBER,Сбербанк,3.0,,3.14,,,,15895629292.0,76382050.0,208.11,0.0,,,,
,,0.0,,,SMAL,,,,210.25,,,,,,SUR,,,,,,211.05,,,,,,,,,,208.85,,,,,,0.0,,,,0.0,,,,15.0,,,210.0,,,,,,SBER,Сбербанк,3.0,,0.17,,,,5882.46,28.0,210.32,0.0,,,,
,210.08,10369499892.4,,,TQBR,,,,210.95,,,,,,SUR,,,,,,211.97,,,,,,,210.08,,,209.0,,,210.31,210.31,,10369499892.4,,,,10369499892.4,,,,57980.0,,,210.0,,,,,,SBER,Сбербанк,3.0,,0.64,,,,10651660815.1,50644210.0,210.32,0.0,,,,
,,,,,EQRP,,,,4.25,,,,,,,,,,,,4.4,,,,,,,,,,3.22,,,,,,,,,,,,,,91.0,,,4.02,,,,,,SBER,Сбербанк,3.0,,,,,,8000984244.75,,3.93,,,,,
,,,,,PSRD,,,,0.65,,,,,,,,,,,,1.9,,,,,,,,,,0.65,,,,,,,,,,,,,,2.0,,,1.9,,,,,,SBER,Сбербанк,3.0,,,,,,11257609.44,,,,,,,
,,,,,PSRP,,,,4.5,,,,,,,,,,,,15.0,,,,,,,,,,-12.25,,,,,,,,,,,,,,136.0,,,-7.0,,,,,,SBER,Сбербанк,3.0,,,,,,1448042106.63,,,,,,,
,,,,,EQRP,,,,2.9,,,,,,,,,,,,4.14,,,,,,,,,,2.9,,,,,,,,,,,,,,108.0,,,3.96,,,,,,SBER,Сбербанк,3.0,,,,,,12476631676.32,,3.34,,,,,
,,,,,PSRD,,,,1.9,,,,,,,,,,,,1.9,,,,,,,,,,1.9,,,,,,,,,,,,,,1.0,,,1.9,,,,,,SBER,Сбербанк,3.0,,,,,,8600262.25,,,,,,,
,,,,,PSRP,,,,4.49,,,,,,,,,,,,15.0,,,,,,,,,,-12.25,,,,,,,,,,,,,,146.0,,,-7.0,,,,,,SBER,Сбербанк,3.0,,,,,,5984652915.1,,,,,,,
,,,,0.0,MXBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,SBER,,,,,,,,,,,,,,,
,,,,0.0,MXBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,SBER,,,,,,,,,,,,,,,
,,,,,SOTC,,,,,,,,,,RUR,,5.0,,,,209.91374,,,,,,,,,,204.91099,,,,,,,,,,,,,,15.0,,,,,,,,10301481B,SBER,Сбербанк,,,,,,common_share,1665496099.77,8006565.0,208.01631,,,,,
,,,,,SOTC,,,,,,,,,,RUR,,5.0,,,,211.8,,,,,,,,,,207.64672,,,,,,,,,,,,,,10.0,,,,,,,,10301481B,SBER,Сбербанк,,,,,,common_share,695457743.13,3312340.0,209.95965,,,,,
